CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;UTM;GEOGRAFICAS
59;Serviestado;59-SERVIESTADO;Camino El Alba 11865;LAS CONDES;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;359068:6303229;-33.4010283139606:-70.5162333698769
60;Serviestado;60-SERVIESTADO;AV. LIB. BERNARDO OHIGGINS 622;SANTIAGO;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;347176:6298441;-33.44272566:-70.644872
61;Serviestado;61-SERVIESTADO;AV. AMERICO VESPUCIO NORTE CALETERA ORIENTE 51;MAIPU;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;337412:6293439;-33.486436:-70.750752
64;Serviestado;64-SERVIESTADO;GRAN AV. JOSE MIGUEL CARRERA 8496;LA CISTERNA;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;345633:6288388;-33.5332983565256:-70.6630693155897
66;Serviestado;66-SERVIESTADO;GENERAL ORDONEZ 130;MAIPU;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;336651:6291043;-33.50796909:-70.75917383
74;Serviestado;74-SERVIESTADO;AV. INDEPENDENCIA 3517;CONCHALI;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;344612:6303585;-33.39605624:-70.67138398
83;Serviestado;83-SERVIESTADO;AV. SERRANO 144;MELIPILLA;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;294850:6270914;-33.68207521:-71.21380708
94;Serviestado;94-SERVIESTADO;VICUNA MACKENNA 1918;PEÑAFLOR;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;325674:6279425;-33.6109281047966:-70.878772926207
112;Serviestado;112-SERVIESTADO;AV. CONCHA Y TORO 1149 LOCAL 60-A Y 60-B;PUENTE ALTO;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;353681:6281158;-33.5995494428859:-70.5774851721172
156;Serviestado;156-SERVIESTADO;ALCALDE PEDRO ALARCON 359;SAN JOAQUIN;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;348517:6293201;-33.490155691717:-70.6313068416836
202;Servipag;202-CRP PROVIDENCIA;HERNANDO DE AGUIRRE 136;PROVIDENCIA;Lun a Vie: 09:00 a 17:30;351214:6301111;-33.41922206:-70.60100524
206;Servipag;206-CRP SAN BERNARDO;OHIGGINS 528 – 2 piso Interior Supermercado Tottus;SAN BERNARDO;Lun a Vie: 09:00 a 19:00 - Sab: 11:00 a 14:00;341940:6281838;-33.5916795375606:-70.7039004651875
213;Servipag;213-APUMANQUE;MAR DE LOS SARGAZOS 5877;LAS CONDES;Lun a Vie: 09:00 a 19:00 / 15:00 a 19:00 - Sab: 10:00 a 14:00;354155:6302159;-33.4102508929983:-70.569010977473
